Category,Layer,Rank,Expert ID,Activation Count
adjacency,45,8,84,5415
adjacency,45,9,103,5180
adjacency,45,10,124,5108
adjacency,45,11,63,5047
adjacency,45,12,6,4946
adjacency,45,13,104,4790
adjacency,45,14,28,4679
adjacency,45,15,108,4041
adjacency,45,16,119,4030
adjacency,45,17,94,3806
adjacency,45,18,18,3768
adjacency,45,19,47,3612
adjacency,45,20,87,3551
adjacency,46,1,102,11436
adjacency,46,2,19,8235
adjacency,46,3,38,6093
adjacency,46,4,119,5874
adjacency,46,5,75,5248
adjacency,46,6,123,5234
adjacency,46,7,67,4909
adjacency,46,8,71,4306
adjacency,46,9,29,4249
adjacency,46,10,114,4203
adjacency,46,11,124,4122
adjacency,46,12,88,4103
adjacency,46,13,5,3966
adjacency,46,14,118,3963
adjacency,46,15,51,3936
adjacency,46,16,28,3788
adjacency,46,17,82,3755
adjacency,46,18,8,3745
adjacency,46,19,34,3727
adjacency,46,20,37,3723
adjacency,47,1,14,7444
adjacency,47,2,126,7313
adjacency,47,3,26,6590
adjacency,47,4,27,5502
adjacency,47,5,15,5256
adjacency,47,6,21,5020
adjacency,47,7,73,5017
adjacency,47,8,103,4943
adjacency,47,9,90,4876
adjacency,47,10,22,4803
adjacency,47,11,127,4452
adjacency,47,12,36,4441
adjacency,47,13,20,4425
adjacency,47,14,109,4201
adjacency,47,15,57,4108
adjacency,47,16,52,4101
adjacency,47,17,54,4099
adjacency,47,18,120,3939
adjacency,47,19,32,3921
adjacency,47,20,108,3907
backwards,0,1,51,17343
backwards,0,2,112,16463
backwards,0,3,30,16150
backwards,0,4,23,15835
backwards,0,5,12,13697
backwards,0,6,57,11823
backwards,0,7,34,11684
backwards,0,8,102,11654
backwards,0,9,77,11156
backwards,0,10,29,10897
backwards,0,11,125,10140
backwards,0,12,114,10114
backwards,0,13,113,10079
backwards,0,14,62,10072
backwards,0,15,7,9769
backwards,0,16,79,9296
backwards,0,17,116,8999
backwards,0,18,35,8809
backwards,0,19,17,8640
backwards,0,20,99,8438
backwards,1,1,32,19820
backwards,1,2,102,15593
backwards,1,3,59,14129
backwards,1,4,100,14116
backwards,1,5,106,13162
backwards,1,6,112,12194
backwards,1,7,108,11457
backwards,1,8,47,11447
backwards,1,9,111,11316
backwards,1,10,84,11005
backwards,1,11,36,10449
backwards,1,12,119,10415
backwards,1,13,64,10332
backwards,1,14,85,9939
